"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd300lg",0,0.726459610936973,0.756,0.543,0,"Endothelial (Capillary)","Cd300lg"
"Tcf15",0,0.680837840666812,0.778,0.614,0,"Endothelial (Capillary)","Tcf15"
"Nrp1",0,0.680543522657796,0.861,0.742,0,"Endothelial (Capillary)","Nrp1"
"Eltd1",0,0.675360449507501,0.68,0.579,0,"Endothelial (Capillary)","Eltd1"
"Col4a2",0,0.669821127499331,0.674,0.541,0,"Endothelial (Capillary)","Col4a2"
"Ppp1r2",0,0.655966591952509,0.861,0.784,0,"Endothelial (Capillary)","Ppp1r2"
"Tmsb4x",0,0.624592964401214,1,0.999,0,"Endothelial (Capillary)","Tmsb4x"
"Cav2",0,0.620471778277947,0.84,0.767,0,"Endothelial (Capillary)","Cav2"
"Sparcl1",0,0.59970522624831,0.894,0.815,0,"Endothelial (Capillary)","Sparcl1"
"Igfbp7",0,0.513186301716108,0.978,0.834,0,"Endothelial (Capillary)","Igfbp7"
"Cav1",0,0.497172145031668,0.958,0.92,0,"Endothelial (Capillary)","Cav1"
"Sparc",0,0.490510274750284,0.905,0.821,0,"Endothelial (Capillary)","Sparc"
"Pir",0,-0.279431126553379,0.026,0.119,0,"Endothelial (Capillary)","Pir"
"Cd55",0,-0.291422298764803,0.021,0.103,0,"Endothelial (Capillary)","Cd55"
"Arl15",0,-0.305304285378085,0.035,0.132,0,"Endothelial (Capillary)","Arl15"
"Tspan5",0,-0.307794305953634,0.03,0.126,0,"Endothelial (Capillary)","Tspan5"
"Rgs10",0,-0.321920235388193,0.017,0.105,0,"Endothelial (Capillary)","Rgs10"
"Ezr",0,-0.3311785417187,0.03,0.124,0,"Endothelial (Capillary)","Ezr"
"Cd82",0,-0.338189529074435,0.028,0.123,0,"Endothelial (Capillary)","Cd82"
"Psen2",0,-0.338960045484454,0.05,0.162,0,"Endothelial (Capillary)","Psen2"
"Egfl8",0,-0.341297001662138,0.021,0.104,0,"Endothelial (Capillary)","Egfl8"
"Arhgdib",0,-0.346080113269924,0.04,0.159,0,"Endothelial (Capillary)","Arhgdib"
"Thsd7a",0,-0.361300519422147,0.019,0.126,0,"Endothelial (Capillary)","Thsd7a"
"Ctnnal1",0,-0.364312240297368,0.018,0.116,0,"Endothelial (Capillary)","Ctnnal1"
"Smad6",0,-0.364889694283949,0.058,0.176,0,"Endothelial (Capillary)","Smad6"
"Rps16",0,-0.366317202077539,0.93,0.975,0,"Endothelial (Capillary)","Rps16"
"Cystm1",0,-0.387747174622673,0.028,0.123,0,"Endothelial (Capillary)","Cystm1"
"Ntn1",0,-0.38989175989301,0.022,0.122,0,"Endothelial (Capillary)","Ntn1"
"Itgb4",0,-0.391067080647333,0.011,0.116,0,"Endothelial (Capillary)","Itgb4"
"Nhsl2",0,-0.392270048069322,0.063,0.193,0,"Endothelial (Capillary)","Nhsl2"
"Slco2a1",0,-0.395430267143545,0.005,0.1,0,"Endothelial (Capillary)","Slco2a1"
"Cx3cl1",0,-0.396358846882292,0.054,0.17,0,"Endothelial (Capillary)","Cx3cl1"
"Marveld1",0,-0.397431683070223,0.045,0.17,0,"Endothelial (Capillary)","Marveld1"
"Atp8b1",0,-0.399892126020324,0.083,0.218,0,"Endothelial (Capillary)","Atp8b1"
"Syt15",0,-0.403131025442024,0.002,0.112,0,"Endothelial (Capillary)","Syt15"
"Fam129b",0,-0.407747451270463,0.122,0.281,0,"Endothelial (Capillary)","Fam129b"
"Fgfr3",0,-0.410515923077279,0.041,0.161,0,"Endothelial (Capillary)","Fgfr3"
"Sulf1",0,-0.413260123021531,0.01,0.127,0,"Endothelial (Capillary)","Sulf1"
"Csf2rb",0,-0.413405980207071,0.054,0.167,0,"Endothelial (Capillary)","Csf2rb"
"Chp2",0,-0.423717518924911,0.005,0.127,0,"Endothelial (Capillary)","Chp2"
"Rfk",0,-0.424274688159969,0.084,0.231,0,"Endothelial (Capillary)","Rfk"
"Slco3a1",0,-0.426811729444627,0.093,0.253,0,"Endothelial (Capillary)","Slco3a1"
"Vim",0,-0.428988672863528,0.708,0.882,0,"Endothelial (Capillary)","Vim"
"Alox12",0,-0.430488477768745,0.01,0.118,0,"Endothelial (Capillary)","Alox12"
"Ptpn14",0,-0.437489776750933,0.074,0.218,0,"Endothelial (Capillary)","Ptpn14"
"Ssfa2",0,-0.439605948614006,0.124,0.281,0,"Endothelial (Capillary)","Ssfa2"
"Rps3",0,-0.440495551643367,0.882,0.948,0,"Endothelial (Capillary)","Rps3"
"Ankrd33b",0,-0.441321213254939,0.072,0.222,0,"Endothelial (Capillary)","Ankrd33b"
"Palld",0,-0.446909512205456,0.015,0.138,0,"Endothelial (Capillary)","Palld"
"Tnfaip2",0,-0.450989927228717,0.022,0.107,0,"Endothelial (Capillary)","Tnfaip2"
"Fbn1",0,-0.453873309069415,0.029,0.187,0,"Endothelial (Capillary)","Fbn1"
"Tmem158",0,-0.470399286855493,0.029,0.119,0,"Endothelial (Capillary)","Tmem158"
"Gstp1",0,-0.47114782573612,0.182,0.366,0,"Endothelial (Capillary)","Gstp1"
"Sdc1",0,-0.481343219564747,0.009,0.115,0,"Endothelial (Capillary)","Sdc1"
"Osmr",0,-0.486765376065179,0.247,0.459,0,"Endothelial (Capillary)","Osmr"
"Crispld1",0,-0.490074432375657,0.025,0.162,0,"Endothelial (Capillary)","Crispld1"
"Mmrn2",0,-0.492443484287036,0.531,0.743,0,"Endothelial (Capillary)","Mmrn2"
"Csf2rb2",0,-0.493682986838219,0.027,0.147,0,"Endothelial (Capillary)","Csf2rb2"
"Gcnt2",0,-0.495078428971906,0.157,0.347,0,"Endothelial (Capillary)","Gcnt2"
"Iqgap1",0,-0.496667749399182,0.288,0.493,0,"Endothelial (Capillary)","Iqgap1"
"Fam107a",0,-0.507529374971197,0.008,0.119,0,"Endothelial (Capillary)","Fam107a"
"Lgmn",0,-0.509930950388351,0.123,0.276,0,"Endothelial (Capillary)","Lgmn"
"Cdk19",0,-0.510577571189167,0.064,0.207,0,"Endothelial (Capillary)","Cdk19"
"St6galnac2",0,-0.518902344819257,0.108,0.293,0,"Endothelial (Capillary)","St6galnac2"
"Mecom",0,-0.522383300102418,0.234,0.425,0,"Endothelial (Capillary)","Mecom"
"Ninj1",0,-0.524946517017066,0.139,0.304,0,"Endothelial (Capillary)","Ninj1"
"Tgfb2",0,-0.528282752523869,0.011,0.126,0,"Endothelial (Capillary)","Tgfb2"
"Trpv4",0,-0.531232221178451,0.011,0.153,0,"Endothelial (Capillary)","Trpv4"
"Pdcd4",0,-0.536556534497021,0.09,0.254,0,"Endothelial (Capillary)","Pdcd4"
"Heg1",0,-0.537372933966074,0.345,0.552,0,"Endothelial (Capillary)","Heg1"
"Itm2c",0,-0.538970389525292,0.258,0.472,0,"Endothelial (Capillary)","Itm2c"
"Ldb2",0,-0.541318195310025,0.15,0.353,0,"Endothelial (Capillary)","Ldb2"
"Sorbs2",0,-0.551104305015613,0.051,0.225,0,"Endothelial (Capillary)","Sorbs2"
"Synpo",0,-0.552585587731661,0.082,0.246,0,"Endothelial (Capillary)","Synpo"
"Frmd4b",0,-0.558729556470788,0.063,0.225,0,"Endothelial (Capillary)","Frmd4b"
"Tmem2",0,-0.565964853955719,0.112,0.268,0,"Endothelial (Capillary)","Tmem2"
"Pdia5",0,-0.566898148736596,0.036,0.189,0,"Endothelial (Capillary)","Pdia5"
"Atp13a3",0,-0.573510488319138,0.112,0.29,0,"Endothelial (Capillary)","Atp13a3"
"Scn1b",0,-0.575935930537823,0.055,0.217,0,"Endothelial (Capillary)","Scn1b"
"Ifi47",0,-0.577303840603605,0.176,0.359,0,"Endothelial (Capillary)","Ifi47"
"Nuak1",0,-0.582459653031734,0.081,0.249,0,"Endothelial (Capillary)","Nuak1"
"Socs2",0,-0.585452999420768,0.279,0.513,0,"Endothelial (Capillary)","Socs2"
"Plec",0,-0.590417655235301,0.239,0.46,0,"Endothelial (Capillary)","Plec"
"Col18a1",0,-0.590687919306627,0.027,0.177,0,"Endothelial (Capillary)","Col18a1"
"Atp2a3",0,-0.596787191403767,0.044,0.203,0,"Endothelial (Capillary)","Atp2a3"
"Entpd1",0,-0.599649358238533,0.148,0.362,0,"Endothelial (Capillary)","Entpd1"
"Casp4",0,-0.601550458103029,0.137,0.339,0,"Endothelial (Capillary)","Casp4"
"Slc3a2",0,-0.603574673909698,0.395,0.637,0,"Endothelial (Capillary)","Slc3a2"
"Pmp22",0,-0.607539583877059,0.132,0.327,0,"Endothelial (Capillary)","Pmp22"
"Tmem176a",0,-0.609097404014076,0.145,0.331,0,"Endothelial (Capillary)","Tmem176a"
"Jag1",0,-0.617208329023337,0.072,0.229,0,"Endothelial (Capillary)","Jag1"
"Btnl9",0,-0.622038164280429,0.09,0.26,0,"Endothelial (Capillary)","Btnl9"
"Ptprr",0,-0.627631126257874,0.1,0.279,0,"Endothelial (Capillary)","Ptprr"
"Sncg",0,-0.638114910334928,0.157,0.373,0,"Endothelial (Capillary)","Sncg"
"Emp2",0,-0.639616416049908,0.095,0.263,0,"Endothelial (Capillary)","Emp2"
"Rbp1",0,-0.647456848106465,0.014,0.132,0,"Endothelial (Capillary)","Rbp1"
"Fxyd5",0,-0.654013031621642,0.368,0.612,0,"Endothelial (Capillary)","Fxyd5"
"Gprc5a",0,-0.654525288957259,0.058,0.183,0,"Endothelial (Capillary)","Gprc5a"
"2200002D01Rik",0,-0.656366997100521,0.123,0.303,0,"Endothelial (Capillary)","2200002D01Rik"
"Clic4",0,-0.698426481281442,0.594,0.778,0,"Endothelial (Capillary)","Clic4"
"Ebf1",0,-0.702998324224252,0.44,0.699,0,"Endothelial (Capillary)","Ebf1"
"Cd9",0,-0.707813730700573,0.674,0.832,0,"Endothelial (Capillary)","Cd9"
"Atp1b3",0,-0.712410766226035,0.287,0.542,0,"Endothelial (Capillary)","Atp1b3"
"Upp1",0,-0.714257830595368,0.081,0.232,0,"Endothelial (Capillary)","Upp1"
"Stom",0,-0.71862340234979,0.106,0.312,0,"Endothelial (Capillary)","Stom"
"Fstl1",0,-0.718787193859145,0.117,0.359,0,"Endothelial (Capillary)","Fstl1"
"Ctsh",0,-0.72232056659148,0.017,0.152,0,"Endothelial (Capillary)","Ctsh"
"Slfn2",0,-0.722709599350191,0.096,0.289,0,"Endothelial (Capillary)","Slfn2"
"Lbp",0,-0.72809902219353,0.009,0.133,0,"Endothelial (Capillary)","Lbp"
"Eps8l2",0,-0.734560091927812,0.032,0.229,0,"Endothelial (Capillary)","Eps8l2"
"Cp",0,-0.740525715921849,0.01,0.142,0,"Endothelial (Capillary)","Cp"
"Cmip",0,-0.744427922934996,0.236,0.498,0,"Endothelial (Capillary)","Cmip"
"St8sia6",0,-0.756504252582428,0.032,0.238,0,"Endothelial (Capillary)","St8sia6"
"Htra1",0,-0.756938200774325,0.02,0.183,0,"Endothelial (Capillary)","Htra1"
"Foxp1",0,-0.758277296401727,0.253,0.535,0,"Endothelial (Capillary)","Foxp1"
"Tm6sf1",0,-0.763819001023962,0.142,0.419,0,"Endothelial (Capillary)","Tm6sf1"
"Adamts1",0,-0.764017202816287,0.433,0.645,0,"Endothelial (Capillary)","Adamts1"
"Azin1",0,-0.76413348778404,0.223,0.448,0,"Endothelial (Capillary)","Azin1"
"Cd63",0,-0.7683238402598,0.121,0.276,0,"Endothelial (Capillary)","Cd63"
"Gja5",0,-0.776801130198614,0.003,0.17,0,"Endothelial (Capillary)","Gja5"
"Tmem176b",0,-0.783633856313793,0.239,0.487,0,"Endothelial (Capillary)","Tmem176b"
"Plat",0,-0.80302067990982,0.091,0.263,0,"Endothelial (Capillary)","Plat"
"Mgst1",0,-0.803640611285163,0.02,0.236,0,"Endothelial (Capillary)","Mgst1"
"Ltbp4",0,-0.81501777381552,0.546,0.796,0,"Endothelial (Capillary)","Ltbp4"
"S100a4",0,-0.841857095431,0.038,0.18,0,"Endothelial (Capillary)","S100a4"
"Cpe",0,-0.862866348044976,0.029,0.126,0,"Endothelial (Capillary)","Cpe"
"Fbln2",0,-0.874111917331855,0.45,0.737,0,"Endothelial (Capillary)","Fbln2"
"Stc1",0,-0.900228215336824,0.017,0.174,0,"Endothelial (Capillary)","Stc1"
"Lrrc32",0,-0.90533373137941,0.147,0.442,0,"Endothelial (Capillary)","Lrrc32"
"Ace",0,-0.912301658562619,0.141,0.429,0,"Endothelial (Capillary)","Ace"
"Avpi1",0,-0.916586638112104,0.09,0.301,0,"Endothelial (Capillary)","Avpi1"
"Ifi27l2a",0,-0.940025757083619,0.119,0.29,0,"Endothelial (Capillary)","Ifi27l2a"
"Crip1",0,-0.956102031218582,0.781,0.937,0,"Endothelial (Capillary)","Crip1"
"Plscr1",0,-0.973733114717065,0.132,0.398,0,"Endothelial (Capillary)","Plscr1"
"Uap1",0,-0.981630937518943,0.21,0.4,0,"Endothelial (Capillary)","Uap1"
"Emp3",0,-0.995583386156358,0.076,0.329,0,"Endothelial (Capillary)","Emp3"
"Prss23",0,-0.999046741848897,0.024,0.232,0,"Endothelial (Capillary)","Prss23"
"Igf2",0,-1.02630723629283,0.019,0.183,0,"Endothelial (Capillary)","Igf2"
"Vegfc",0,-1.04557224976768,0.038,0.3,0,"Endothelial (Capillary)","Vegfc"
"Tmem252",0,-1.06321315893733,0.131,0.326,0,"Endothelial (Capillary)","Tmem252"
"Timp2",0,-1.07546157089391,0.053,0.3,0,"Endothelial (Capillary)","Timp2"
"Col8a1",0,-1.12025152720566,0.009,0.265,0,"Endothelial (Capillary)","Col8a1"
"Spint2",0,-1.12713509280689,0.069,0.383,0,"Endothelial (Capillary)","Spint2"
"Igfbp3",0,-1.13060197420029,0.239,0.469,0,"Endothelial (Capillary)","Igfbp3"
"Fn1",0,-1.15160756194576,0.046,0.312,0,"Endothelial (Capillary)","Fn1"
"Procr",0,-1.15838549132784,0.098,0.268,0,"Endothelial (Capillary)","Procr"
"Tsc22d1",0,-1.16028032162374,0.457,0.771,0,"Endothelial (Capillary)","Tsc22d1"
"Tagln",0,-1.16478410737819,0.033,0.179,0,"Endothelial (Capillary)","Tagln"
"Ehd4",0,-1.17053016492677,0.197,0.467,0,"Endothelial (Capillary)","Ehd4"
"Hey1",0,-1.17672553488808,0.081,0.361,0,"Endothelial (Capillary)","Hey1"
"Il6st",0,-1.18807020002376,0.215,0.508,0,"Endothelial (Capillary)","Il6st"
"Hs3st1",0,-1.24705458971401,0.025,0.278,0,"Endothelial (Capillary)","Hs3st1"
"Alpl",0,-1.25431052136175,0.132,0.46,0,"Endothelial (Capillary)","Alpl"
"Tm4sf1",0,-1.27817296560516,0.851,0.974,0,"Endothelial (Capillary)","Tm4sf1"
"Rcan1",0,-1.3029881830808,0.143,0.337,0,"Endothelial (Capillary)","Rcan1"
"Glul",0,-1.39532103182591,0.229,0.56,0,"Endothelial (Capillary)","Glul"
"Fgl2",0,-1.44293628021132,0.016,0.131,0,"Endothelial (Capillary)","Fgl2"
"Gja4",0,-1.44794971933782,0.019,0.281,0,"Endothelial (Capillary)","Gja4"
"Edn1",0,-1.46936993968688,0.068,0.343,0,"Endothelial (Capillary)","Edn1"
"Sema3g",0,-1.48887712826618,0.054,0.395,0,"Endothelial (Capillary)","Sema3g"
"Il6",0,-1.53606899038041,0.089,0.227,0,"Endothelial (Capillary)","Il6"
"Bgn",0,-1.53766306358699,0.055,0.285,0,"Endothelial (Capillary)","Bgn"
"Bsg",0,-1.54773879248615,0.566,0.845,0,"Endothelial (Capillary)","Bsg"
"Vwf",0,-1.55086664711107,0.164,0.461,0,"Endothelial (Capillary)","Vwf"
"Cd24a",0,-1.58360656715864,0.019,0.286,0,"Endothelial (Capillary)","Cd24a"
"Rbp7",0,-1.70436623968026,0.147,0.48,0,"Endothelial (Capillary)","Rbp7"
"Vcam1",0,-1.79792488085638,0.036,0.215,0,"Endothelial (Capillary)","Vcam1"
"Igfbp4",0,-1.87802686224047,0.05,0.428,0,"Endothelial (Capillary)","Igfbp4"
"Stmn2",0,-1.91148622518613,0.171,0.685,0,"Endothelial (Capillary)","Stmn2"
"Darc",0,-2.01615303876504,0.004,0.137,0,"Endothelial (Capillary)","Darc"
"Emp1",0,-2.05771058596435,0.277,0.542,0,"Endothelial (Capillary)","Emp1"
"Plvap",0,-2.09241027286338,0.093,0.332,0,"Endothelial (Capillary)","Plvap"
"Lrg1",0,-2.11355734893206,0.07,0.288,0,"Endothelial (Capillary)","Lrg1"
"Cytl1",0,-2.28735843180791,0.002,0.15,0,"Endothelial (Capillary)","Cytl1"
"Fbln5",0,-2.30422078800146,0.026,0.513,0,"Endothelial (Capillary)","Fbln5"
"Csf3",0,-2.58272223688373,0.01,0.112,0,"Endothelial (Capillary)","Csf3"
"Clu",0,-2.69246403508581,0.035,0.421,0,"Endothelial (Capillary)","Clu"
"Selp",0,-3.31475542601561,0.009,0.192,0,"Endothelial (Capillary)","Selp"
"Mgp",0,-3.33821520506738,0.078,0.283,0,"Endothelial (Capillary)","Mgp"
"Ctla2a",4.85705271831468e-308,0.649945781897097,0.733,0.578,1.37226310450545e-303,"Endothelial (Capillary)","Ctla2a"
"Il13ra1",1.18810976002509e-304,-0.31461487579587,0.043,0.146,3.35676650499889e-300,"Endothelial (Capillary)","Il13ra1"
"Rps6",5.02471024819901e-303,-0.363531496746857,0.886,0.956,1.41963138642367e-298,"Endothelial (Capillary)","Rps6"
"Msrb3",7.10676248324751e-302,-0.323586400348069,0.063,0.18,2.00787360439192e-297,"Endothelial (Capillary)","Msrb3"
"Ybx1",1.07553439999315e-301,0.365695695408609,0.955,0.946,3.03870734030064e-297,"Endothelial (Capillary)","Ybx1"
"Ucp2",1.72735116123411e-300,-0.466755229694371,0.166,0.336,4.88028523583472e-296,"Endothelial (Capillary)","Ucp2"
"Rps28",5.69687609206439e-300,-0.569527831475187,0.725,0.868,1.60953840229095e-295,"Endothelial (Capillary)","Rps28"
"Adh1",1.01473058387767e-299,0.822172512258819,0.228,0.074,2.86691831862959e-295,"Endothelial (Capillary)","Adh1"
"Bcr",9.64475719930784e-299,-0.500057340662011,0.1,0.239,2.72493325152044e-294,"Endothelial (Capillary)","Bcr"
"Col4a1",2.3401961952553e-298,0.667394057929543,0.714,0.612,6.61175631045481e-294,"Endothelial (Capillary)","Col4a1"
"Spock2",2.66979974740496e-298,-0.319726768476815,0.023,0.106,7.54298522634325e-294,"Endothelial (Capillary)","Spock2"
"Tgfbr2",1.24956994860505e-297,-0.426373057542757,0.125,0.275,3.53040997579386e-293,"Endothelial (Capillary)","Tgfbr2"
"Aplnr",1.03478076252884e-296,0.800545334719611,0.31,0.134,2.92356608837274e-292,"Endothelial (Capillary)","Aplnr"
"Wls",6.68000257080583e-296,-0.283972371765627,0.03,0.12,1.88730112632977e-291,"Endothelial (Capillary)","Wls"
"Scarb1",1.21435430115626e-294,0.7056995353171,0.576,0.431,3.43091520705678e-290,"Endothelial (Capillary)","Scarb1"
"Gm12002",5.98321893596938e-294,0.799999231201705,0.303,0.133,1.69043884597943e-289,"Endothelial (Capillary)","Gm12002"
"Anxa1",8.09301767947786e-293,-0.545169605933344,0.063,0.177,2.28652028498288e-288,"Endothelial (Capillary)","Anxa1"
"Ctnnbip1",7.21844584688722e-290,0.654210268714072,0.583,0.451,2.03942750512105e-285,"Endothelial (Capillary)","Ctnnbip1"
"Sdpr",7.71627528159664e-289,0.496466534112586,0.887,0.862,2.1800792553095e-284,"Endothelial (Capillary)","Sdpr"
"AU021092",9.59639237576042e-289,-0.355681695185705,0.047,0.152,2.71126873792359e-284,"Endothelial (Capillary)","AU021092"
"Cd59a",1.67511569034614e-286,-0.412735701840414,0.15,0.312,4.73270435993496e-282,"Endothelial (Capillary)","Cd59a"
"Sult1a1",5.21869660205893e-284,0.815381103520446,0.494,0.353,1.47443835097971e-279,"Endothelial (Capillary)","Sult1a1"
"Icam1",6.56664019766044e-283,-0.535663841735145,0.288,0.481,1.855272855045e-278,"Endothelial (Capillary)","Icam1"
"Gimap6",3.12179932394461e-282,0.642551668627389,0.69,0.617,8.82001962994072e-278,"Endothelial (Capillary)","Gimap6"
"Mt2",6.34777297668299e-279,-2.60999987332435,0.176,0.319,1.79343629910225e-274,"Endothelial (Capillary)","Mt2"
"Fez1",6.10272814628675e-276,-0.259081665645017,0.023,0.102,1.7242037831704e-271,"Endothelial (Capillary)","Fez1"
"Serping1",3.64940998034445e-275,-0.305695288150377,0.036,0.127,1.03106780174672e-270,"Endothelial (Capillary)","Serping1"
"Ephx1",8.46347599249021e-274,-0.35279856095606,0.127,0.277,2.39118587215826e-269,"Endothelial (Capillary)","Ephx1"
"Itpr3",1.04666432652486e-272,-0.318447161139249,0.058,0.166,2.9571407217307e-268,"Endothelial (Capillary)","Itpr3"
"Scd2",1.36063468364051e-272,-0.330744773890843,0.071,0.187,3.84420117168952e-268,"Endothelial (Capillary)","Scd2"
"Dap",7.10207670098527e-271,-0.391274873524931,0.129,0.275,2.00654973032937e-266,"Endothelial (Capillary)","Dap"
"Kcna5",8.06542872370098e-266,0.76567498432688,0.324,0.164,2.27872557730724e-261,"Endothelial (Capillary)","Kcna5"
"Car7",1.09148685576731e-264,-0.349709376113915,0.052,0.155,3.08377781359939e-260,"Endothelial (Capillary)","Car7"
"Sept11",4.89454378227454e-263,-0.369150753804363,0.106,0.239,1.38285545480603e-258,"Endothelial (Capillary)","Sept11"
"Plscr2",1.15014564093779e-261,-0.408831450872746,0.188,0.356,3.24950647934155e-257,"Endothelial (Capillary)","Plscr2"
"Cst3",2.59911738857305e-261,-0.535356100496891,0.936,0.976,7.34328635793544e-257,"Endothelial (Capillary)","Cst3"
"Atox1",4.31866297744438e-261,-0.422301490660561,0.685,0.841,1.22015185101736e-256,"Endothelial (Capillary)","Atox1"
"Rpl13a",7.06722049594208e-261,-0.302235851174545,0.944,0.982,1.99670180671851e-256,"Endothelial (Capillary)","Rpl13a"
"Eogt",1.0148194611416e-260,-0.352587405448263,0.083,0.204,2.86716942356336e-256,"Endothelial (Capillary)","Eogt"
"Insr",9.31316164108142e-260,-0.356123406391249,0.06,0.166,2.63124755845473e-255,"Endothelial (Capillary)","Insr"
"Lap3",1.02895957696113e-259,-0.380826972296769,0.081,0.198,2.90711949278828e-255,"Endothelial (Capillary)","Lap3"
"Cd36",2.77273537963539e-259,0.385254072129161,0.941,0.86,7.83380926808387e-255,"Endothelial (Capillary)","Cd36"
"Arrb1",1.3071348834654e-258,-0.30171984989961,0.042,0.134,3.69304818625479e-254,"Endothelial (Capillary)","Arrb1"
"Tgm2",3.12420571718448e-257,-0.463926801022005,0.528,0.719,8.82681841276132e-253,"Endothelial (Capillary)","Tgm2"
"Acer2",7.01211037429653e-256,-0.288686333267617,0.049,0.148,1.98113154405e-251,"Endothelial (Capillary)","Acer2"
"Rarres1",1.11980301433602e-253,0.6215121457595,0.153,0.03,3.16377945640354e-249,"Endothelial (Capillary)","Rarres1"
"Ctsd",1.52763886284991e-253,-0.572553003821666,0.5,0.678,4.31603807920986e-249,"Endothelial (Capillary)","Ctsd"
"Rps23",1.34546876870349e-249,-0.289977618867802,0.959,0.985,3.80135291221798e-245,"Endothelial (Capillary)","Rps23"
"Sfxn3",4.36040164181857e-249,-0.337927327051428,0.083,0.201,1.231944275863e-244,"Endothelial (Capillary)","Sfxn3"
"Fam189a2",1.24254969626282e-248,-0.259715362146725,0.049,0.145,3.51057565685134e-244,"Endothelial (Capillary)","Fam189a2"
"Nepn",1.3741956524839e-246,-0.46554633747474,0.055,0.154,3.88251497696276e-242,"Endothelial (Capillary)","Nepn"
"Serpinh1",3.2072904413668e-246,0.589886166776862,0.688,0.624,9.06155768399363e-242,"Endothelial (Capillary)","Serpinh1"
"Foxc1",6.60972040616644e-246,-0.366570943376155,0.073,0.184,1.8674443063542e-241,"Endothelial (Capillary)","Foxc1"
"Rplp2",7.50617659668916e-246,-0.396890476838474,0.865,0.94,2.12072007386259e-241,"Endothelial (Capillary)","Rplp2"
"Lima1",7.27635884073672e-245,-0.389689723072852,0.272,0.456,2.05578966327335e-240,"Endothelial (Capillary)","Lima1"
"Xdh",2.50131725029707e-243,0.818348800156105,0.374,0.233,7.06697162726431e-239,"Endothelial (Capillary)","Xdh"
"Pdlim7",3.45898323295029e-243,-0.398392589076025,0.164,0.316,9.77266532805446e-239,"Endothelial (Capillary)","Pdlim7"
"Rps19",1.09885731877964e-242,-0.283337162993417,0.95,0.981,3.10460158274811e-238,"Endothelial (Capillary)","Rps19"
"Dhrs3",1.80990657736059e-242,0.790905822426632,0.479,0.352,5.11352905301689e-238,"Endothelial (Capillary)","Dhrs3"
"Acer3",2.54944460972596e-242,-0.290732044796786,0.041,0.129,7.20294585585876e-238,"Endothelial (Capillary)","Acer3"
"Hmgn3",4.07042424782599e-241,-0.303254893065106,0.078,0.192,1.15001696273828e-236,"Endothelial (Capillary)","Hmgn3"
"Epha4",1.74928764107757e-240,-0.31120133179028,0.091,0.213,4.94226237233645e-236,"Endothelial (Capillary)","Epha4"
"Slc1a1",3.01783206851327e-240,0.736189629049087,0.176,0.05,8.52628094317055e-236,"Endothelial (Capillary)","Slc1a1"
"Mt1",6.36615219615002e-240,-2.30485745918468,0.216,0.357,1.79862897997826e-235,"Endothelial (Capillary)","Mt1"
"Mllt4",9.73024559166115e-237,0.571496786974966,0.67,0.577,2.74908628701203e-232,"Endothelial (Capillary)","Mllt4"
"Lrrc3b",1.2158414702961e-236,-0.280365774121496,0.031,0.11,3.43511690602758e-232,"Endothelial (Capillary)","Lrrc3b"
"Rdx",2.28894786903281e-236,-0.444678906427876,0.392,0.579,6.4669644143784e-232,"Endothelial (Capillary)","Rdx"
